index,time_ms,time_s,position_m,velocity_mps,accel_mps2,current_A
92,910,0.9100,0.000000,0.00000,0.0000,-0.2030
93,920,0.9200,0.000000,0.00000,0.0000,-0.1160
94,930,0.9300,0.000000,0.00000,0.0000,-0.2228
95,940,0.9400,0.000000,0.00000,0.0000,-0.0427
96,950,0.9500,0.000000,0.00000,0.0000,-0.2106
97,960,0.9600,0.000000,0.00000,0.0000,-0.1404
98,970,0.9700,0.000000,0.00000,0.0000,-0.2366
99,980,0.9800,0.000000,0.00000,0.0000,-0.1618
100,990,0.9900,0.000000,0.00000,0.0000,10.6792
101,1000,1.0000,0.000000,0.00000,0.0000,15.1343
102,1010,1.0100,0.000000,0.00000,0.0000,15.1404
103,1020,1.0200,0.000000,0.00000,0.0000,15.1435
104,1030,1.0300,0.000000,0.00000,0.0000,14.6093
105,1040,1.0400,0.000000,0.00000,0.0000,13.2982
106,1050,1.0500,0.000000,0.00000,0.0000,11.2088
107,1060,1.0600,0.000000,0.00000,0.0000,9.3178
108,1070,1.0700,0.000000,0.00000,0.0000,8.4936
109,1080,1.0800,0.000000,0.00000,0.0000,6.9673
110,1090,1.0900,0.000000,0.00000,0.0000,6.3095
111,1100,1.1000,0.000000,0.00000,0.0000,5.3434
112,1110,1.1100,0.000000,0.00000,0.0000,4.9313
113,1120,1.1200,0.000000,0.00000,0.0000,4.1880
114,1130,1.1300,0.000000,0.00000,0.0000,4.7146
115,1140,1.1400,0.000000,0.00000,0.0000,5.5388
116,1150,1.1500,0.000000,0.00000,0.0000,5.7860
117,1160,1.1600,0.000000,0.00000,0.0000,4.6444
118,1170,1.1700,0.000000,0.00000,0.0000,4.2521
119,1180,1.1800,0.000000,0.00000,0.0000,3.8599
120,1190,1.1900,0.000000,0.00000,0.0000,4.2872
121,1200,1.2000,0.000000,0.00000,0.0000,5.8471
122,1210,1.2100,0.000000,0.00000,0.0000,5.0794
123,1220,1.2200,0.000000,0.00000,0.0000,4.3162
124,1230,1.2300,0.000000,0.00000,0.0000,3.9896
125,1240,1.2400,0.000000,0.00000,0.0000,4.0934
126,1250,1.2500,0.000000,0.00000,0.0000,5.0031
127,1260,1.2600,0.000000,0.00000,0.0000,5.1145
128,1270,1.2700,0.000000,0.00000,0.0000,5.0580
129,1280,1.2800,0.000000,0.00000,0.0000,4.0965
130,1290,1.2900,0.000000,0.00000,0.0000,3.5531
131,1300,1.3000,0.000000,0.00000,0.0000,4.6459
132,1310,1.3100,0.000000,0.00000,0.0000,5.3541
133,1320,1.3200,0.000000,0.00000,0.0000,5.0733
134,1330,1.3300,0.000000,0.00000,0.0000,4.4857
135,1340,1.3400,0.000000,0.00000,0.0000,3.9423
136,1350,1.3500,0.000000,0.00000,0.0000,3.9301
137,1360,1.3600,0.000000,0.00000,0.0000,5.0962
138,1370,1.3700,0.000000,0.00000,0.0000,5.5922
139,1380,1.3800,0.000000,0.00000,0.0000,4.7573
140,1390,1.3900,0.000000,0.00000,0.0000,4.3223
141,1400,1.4000,0.000000,0.00000,0.0000,3.7790
142,1410,1.4100,0.000000,0.00000,0.0000,4.6444
143,1420,1.4200,0.000000,0.00000,0.0000,5.1679
