index,time_ms,time_s,position_m,velocity_mps,accel_mps2,current_A
0,0,0.0000,0.000000,0.00000,0.0000,-0.1969
1,2,0.0020,0.000000,0.00000,0.0000,-0.1938
2,10,0.0100,0.000000,0.00000,0.0000,-0.1847
3,20,0.0200,0.000000,0.00000,0.0000,-0.1465
4,30,0.0300,0.000000,0.00000,0.0000,-0.1404
5,40,0.0400,0.000000,0.00000,0.0000,-0.1709
6,50,0.0500,0.000000,0.00000,0.0000,-0.1190
7,60,0.0600,0.000000,0.00000,0.0000,-0.2137
8,70,0.0700,0.000000,0.00000,0.0000,-0.2076
9,80,0.0800,0.000000,0.00000,0.0000,-0.1786
10,90,0.0900,0.000000,0.00000,0.0000,-0.1725
11,100,0.1000,0.000000,0.00000,0.0000,-0.1618
12,110,0.1100,0.000000,0.00000,0.0000,-0.1572
13,120,0.1200,0.000000,0.00000,0.0000,-0.1541
14,130,0.1300,0.000000,0.00000,0.0000,-0.0656
15,140,0.1400,0.000000,0.00000,0.0000,-0.1664
16,150,0.1500,0.000000,0.00000,0.0000,-0.1099
17,160,0.1600,0.000000,0.00000,0.0000,-0.1984
18,170,0.1700,0.000000,0.00000,0.0000,-0.1633
19,180,0.1800,0.000000,0.00000,0.0000,-0.1358
20,190,0.1900,0.000000,0.00000,0.0000,-0.1725
21,200,0.2000,0.000000,0.00000,0.0000,-0.2137
22,210,0.2100,0.000000,0.00000,0.0000,-0.1984
23,220,0.2200,0.000000,0.00000,0.0000,-0.1831
24,230,0.2300,0.000000,0.00000,0.0000,-0.1954
25,240,0.2400,0.000000,0.00000,0.0000,-0.1450
26,250,0.2500,0.000000,0.00000,0.0000,-0.1603
27,260,0.2600,0.000000,0.00000,0.0000,-0.1938
28,270,0.2700,0.000000,0.00000,0.0000,-0.1984
29,280,0.2800,0.000000,0.00000,0.0000,-0.0259
30,290,0.2900,0.000000,0.00000,0.0000,-0.1755
31,300,0.3000,0.000000,0.00000,0.0000,-0.1374
32,310,0.3100,0.000000,0.00000,0.0000,-0.2228
33,320,0.3200,0.000000,0.00000,0.0000,-0.1358
34,330,0.3300,0.000000,0.00000,0.0000,-0.1740
35,340,0.3400,0.000000,0.00000,0.0000,-0.0641
36,350,0.3500,0.000000,0.00000,0.0000,-0.1954
37,360,0.3600,0.000000,0.00000,0.0000,-0.1068
38,370,0.3700,0.000000,0.00000,0.0000,-0.1893
39,380,0.3800,0.000000,0.00000,0.0000,-0.1847
40,390,0.3900,0.000000,0.00000,0.0000,-0.1709
41,400,0.4000,0.000000,0.00000,0.0000,-0.1053
42,410,0.4100,0.000000,0.00000,0.0000,-0.1252
43,420,0.4200,0.000000,0.00000,0.0000,-0.1572
44,430,0.4300,0.000000,0.00000,0.0000,-0.1053
45,440,0.4400,0.000000,0.00000,0.0000,-0.0519
46,450,0.4500,0.000000,0.00000,0.0000,-0.1526
47,460,0.4600,0.000000,0.00000,0.0000,-0.1511
48,470,0.4700,0.000000,0.00000,0.0000,-0.2763
49,480,0.4800,0.000000,0.00000,0.0000,-0.1618
50,490,0.4900,0.000000,0.00000,0.0000,-0.1541
51,500,0.5000,0.000000,0.00000,0.0000,-0.0977
52,510,0.5100,0.000000,0.00000,0.0000,-0.1648
53,520,0.5200,0.000000,0.00000,0.0000,-0.1923
54,530,0.5300,0.000000,0.00000,0.0000,-0.1572
55,540,0.5400,0.000000,0.00000,0.0000,-0.1023
56,550,0.5500,0.000000,0.00000,0.0000,-0.2274
57,560,0.5600,0.000000,0.00000,0.0000,-0.2457
58,570,0.5700,0.000000,0.00000,0.0000,-0.1526
59,580,0.5800,0.000000,0.00000,0.0000,-0.2152
60,590,0.5900,0.000000,0.00000,0.0000,-0.1725
61,600,0.6000,0.000000,0.00000,0.0000,-0.1053
62,610,0.6100,0.000000,0.00000,0.0000,-0.1496
63,620,0.6200,0.000000,0.00000,0.0000,-0.0946
64,630,0.6300,0.000000,0.00000,0.0000,-0.2198
65,640,0.6400,0.000000,0.00000,0.0000,-0.1725
66,650,0.6500,0.000000,0.00000,0.0000,-0.1450
67,660,0.6600,0.000000,0.00000,0.0000,-0.2213
68,670,0.6700,0.000000,0.00000,0.0000,-0.1267
69,680,0.6800,0.000000,0.00000,0.0000,-0.1999
70,690,0.6900,0.000000,0.00000,0.0000,-0.2060
71,700,0.7000,0.000000,0.00000,0.0000,-0.1603
72,710,0.7100,0.000000,0.00000,0.0000,-0.1038
73,720,0.7200,0.000000,0.00000,0.0000,-0.1862
74,730,0.7300,0.000000,0.00000,0.0000,-0.1587
75,740,0.7400,0.000000,0.00000,0.0000,-0.1603
76,750,0.7500,0.000000,0.00000,0.0000,-0.1419
77,760,0.7600,0.000000,0.00000,0.0000,-0.1770
78,770,0.7700,0.000000,0.00000,0.0000,-0.1267
79,780,0.7800,0.000000,0.00000,0.0000,-0.0855
80,790,0.7900,0.000000,0.00000,0.0000,-0.1740
81,800,0.8000,0.000000,0.00000,0.0000,-0.1786
82,810,0.8100,0.000000,0.00000,0.0000,-0.2473
83,820,0.8200,0.000000,0.00000,0.0000,-0.0717
84,830,0.8300,0.000000,0.00000,0.0000,-0.0946
85,840,0.8400,0.000000,0.00000,0.0000,-0.0992
86,850,0.8500,0.000000,0.00000,0.0000,-0.2045
87,860,0.8600,0.000000,0.00000,0.0000,-0.1908
88,870,0.8700,0.000000,0.00000,0.0000,-0.1877
89,880,0.8800,0.000000,0.00000,0.0000,-0.2396
90,890,0.8900,0.000000,0.00000,0.0000,-0.1893
91,900,0.9000,0.000000,0.00000,0.0000,-0.1389
92,910,0.9100,0.000000,0.00000,0.0000,-0.2076
93,920,0.9200,0.000000,0.00000,0.0000,-0.0672
94,930,0.9300,0.000000,0.00000,0.0000,-0.2427
95,940,0.9400,0.000000,0.00000,0.0000,-0.1511
96,950,0.9500,0.000000,0.00000,0.0000,-0.0901
97,960,0.9600,0.000000,0.00000,0.0000,-0.1129
98,970,0.9700,0.000000,0.00000,0.0000,-0.1969
99,980,0.9800,0.000000,0.00000,0.0000,-0.1740
100,990,0.9900,0.000000,0.00000,0.0000,4.2827
101,1000,1.0000,0.000000,0.00000,0.0000,10.8471
102,1010,1.0100,0.000000,0.00000,0.0000,8.3379
103,1020,1.0200,0.000000,0.00000,0.0000,7.3245
104,1030,1.0300,0.000000,0.00000,0.0000,6.6270
105,1040,1.0400,0.000000,0.00000,0.0000,6.3721
106,1050,1.0500,0.000000,0.00000,0.0000,5.7524
107,1060,1.0600,0.000000,0.00000,0.0000,6.3126
108,1070,1.0700,0.000000,0.00000,0.0000,4.7878
109,1080,1.0800,0.000000,0.00000,0.0000,4.3025
110,1090,1.0900,0.000000,0.00000,0.0000,5.1053
111,1100,1.1000,0.000000,0.00000,0.0000,3.4570
112,1110,1.1100,0.000000,0.00000,0.0000,4.2338
113,1120,1.1200,0.000000,0.00000,0.0000,3.8049
114,1130,1.1300,0.000000,0.00000,0.0000,3.5455
115,1140,1.1400,0.000000,0.00000,0.0000,4.3071
116,1150,1.1500,0.000000,0.00000,0.0000,3.4249
117,1160,1.1600,0.000000,0.00000,0.0000,3.6752
118,1170,1.1700,0.000000,0.00000,0.0000,3.8278
119,1180,1.1800,0.000000,0.00000,0.0000,3.0784
120,1190,1.1900,0.000000,0.00000,0.0000,4.3681
121,1200,1.2000,0.000000,0.00000,0.0000,3.1059
122,1210,1.2100,0.000000,0.00000,0.0000,3.8599
123,1220,1.2200,0.000000,0.00000,0.0000,3.7118
124,1230,1.2300,0.000000,0.00000,0.0000,3.3623
125,1240,1.2400,0.000000,0.00000,0.0000,3.8767
126,1250,1.2500,0.000000,0.00000,0.0000,3.1548
127,1260,1.2600,0.000000,0.00000,0.0000,3.9957
128,1270,1.2700,0.000000,0.00000,0.0000,3.3455
129,1280,1.2800,0.000000,0.00000,0.0000,3.0586
130,1290,1.2900,0.000000,0.00000,0.0000,4.1377
131,1300,1.3000,0.000000,0.00000,0.0000,3.0357
132,1310,1.3100,0.000000,0.00000,0.0000,4.0522
133,1320,1.3200,0.000000,0.00000,0.0000,3.1364
