index,time_ms,time_s,position_m,velocity_mps,accel_mps2,current_A
0,0,0.0000,0.000000,0.00000,0.0000,-0.1511
1,2,0.0020,0.000000,0.00000,0.0000,-0.1465
2,10,0.0100,0.000000,0.00000,0.0000,-0.2183
3,20,0.0200,0.000000,0.00000,0.0000,-0.1664
4,30,0.0300,0.000000,0.00000,0.0000,-0.1465
5,40,0.0400,0.000000,0.00000,0.0000,-0.1679
6,50,0.0500,0.000000,0.00000,0.0000,-0.1236
7,60,0.0600,0.000000,0.00000,0.0000,-0.2183
8,70,0.0700,0.000000,0.00000,0.0000,-0.0656
9,80,0.0800,0.000000,0.00000,0.0000,-0.1709
10,90,0.0900,0.000000,0.00000,0.0000,-0.1084
11,100,0.1000,0.000000,0.00000,0.0000,-0.1053
12,110,0.1100,0.000000,0.00000,0.0000,-0.1831
13,120,0.1200,0.000000,0.00000,0.0000,-0.1999
14,130,0.1300,0.000000,0.00000,0.0000,-0.1389
15,140,0.1400,0.000000,0.00000,0.0000,-0.1236
16,150,0.1500,0.000000,0.00000,0.0000,-0.1801
17,160,0.1600,0.000000,0.00000,0.0000,-0.2305
18,170,0.1700,0.000000,0.00000,0.0000,-0.2885
19,180,0.1800,0.000000,0.00000,0.0000,-0.1572
20,190,0.1900,0.000000,0.00000,0.0000,-0.0748
21,200,0.2000,0.000000,0.00000,0.0000,-0.2610
22,210,0.2100,0.000000,0.00000,0.0000,-0.1786
23,220,0.2200,0.000000,0.00000,0.0000,-0.1755
24,230,0.2300,0.000000,0.00000,0.0000,-0.1084
25,240,0.2400,0.000000,0.00000,0.0000,-0.1984
26,250,0.2500,0.000000,0.00000,0.0000,-0.2030
27,260,0.2600,0.000000,0.00000,0.0000,-0.1831
28,270,0.2700,0.000000,0.00000,0.0000,-0.1755
29,280,0.2800,0.000000,0.00000,0.0000,-0.2335
30,290,0.2900,0.000000,0.00000,0.0000,-0.1832
31,300,0.3000,0.000000,0.00000,0.0000,-0.1740
32,310,0.3100,0.000000,0.00000,0.0000,-0.1908
33,320,0.3200,0.000000,0.00000,0.0000,-0.0565
34,330,0.3300,0.000000,0.00000,0.0000,-0.1542
35,340,0.3400,0.000000,0.00000,0.0000,-0.1526
36,350,0.3500,0.000000,0.00000,0.0000,-0.2366
37,360,0.3600,0.000000,0.00000,0.0000,-0.1572
38,370,0.3700,0.000000,0.00000,0.0000,-0.2198
39,380,0.3800,0.000000,0.00000,0.0000,-0.2366
40,390,0.3900,0.000000,0.00000,0.0000,-0.2213
41,400,0.4000,0.000000,0.00000,0.0000,-0.1404
42,410,0.4100,0.000000,0.00000,0.0000,-0.2457
43,420,0.4200,0.000000,0.00000,0.0000,-0.2060
44,430,0.4300,0.000000,0.00000,0.0000,-0.1206
45,440,0.4400,0.000000,0.00000,0.0000,-0.2076
46,450,0.4500,0.000000,0.00000,0.0000,-0.2564
47,460,0.4600,0.000000,0.00000,0.0000,-0.1648
48,470,0.4700,0.000000,0.00000,0.0000,-0.2289
49,480,0.4800,0.000000,0.00000,0.0000,-0.1129
50,490,0.4900,0.000000,0.00000,0.0000,-0.1786
51,500,0.5000,0.000000,0.00000,0.0000,-0.1862
52,510,0.5100,0.000000,0.00000,0.0000,-0.1954
53,520,0.5200,0.000000,0.00000,0.0000,-0.2091
54,530,0.5300,0.000000,0.00000,0.0000,-0.1374
55,540,0.5400,0.000000,0.00000,0.0000,-0.2717
56,550,0.5500,0.000000,0.00000,0.0000,-0.1435
57,560,0.5600,0.000000,0.00000,0.0000,-0.2747
58,570,0.5700,0.000000,0.00000,0.0000,-0.2091
59,580,0.5800,0.000000,0.00000,0.0000,-0.1725
60,590,0.5900,0.000000,0.00000,0.0000,-0.2122
