index,time_ms,time_s,position_m,velocity_mps,accel_mps2,current_A
0,0,0.0000,0.000000,0.00000,0.0000,-0.1709
1,2,0.0020,0.000000,0.00000,0.0000,-0.0809
2,10,0.0100,0.000000,0.00000,0.0000,-0.1831
3,20,0.0200,0.000000,0.00000,0.0000,-0.2335
4,30,0.0300,0.000000,0.00000,0.0000,-0.1755
5,40,0.0400,0.000000,0.00000,0.0000,-0.1236
6,50,0.0500,0.000000,0.00000,0.0000,-0.0214
7,60,0.0600,0.000000,0.00000,0.0000,-0.2244
8,70,0.0700,0.000000,0.00000,0.0000,-0.1374
9,80,0.0800,0.000000,0.00000,0.0000,-0.1358
10,90,0.0900,0.000000,0.00000,0.0000,-0.1252
11,100,0.1000,0.000000,0.00000,0.0000,-0.1801
12,110,0.1100,0.000000,0.00000,0.0000,-0.1816
13,120,0.1200,0.000000,0.00000,0.0000,-0.1923
14,130,0.1300,0.000000,0.00000,0.0000,-0.1480
15,140,0.1400,0.000000,0.00000,0.0000,-0.2183
16,150,0.1500,0.000000,0.00000,0.0000,-0.1160
17,160,0.1600,0.000000,0.00000,0.0000,-0.0565
18,170,0.1700,0.000000,0.00000,0.0000,-0.1419
19,180,0.1800,0.000000,0.00000,0.0000,-0.1038
20,190,0.1900,0.000000,0.00000,0.0000,-0.1206
21,200,0.2000,0.000000,0.00000,0.0000,-0.2305
22,210,0.2100,0.000000,0.00000,0.0000,-0.1435
23,220,0.2200,0.000000,0.00000,0.0000,-0.2335
24,230,0.2300,0.000000,0.00000,0.0000,-0.2167
25,240,0.2400,0.000000,0.00000,0.0000,-0.1572
26,250,0.2500,0.000000,0.00000,0.0000,-0.0626
27,260,0.2600,0.000000,0.00000,0.0000,-0.2869
28,270,0.2700,0.000000,0.00000,0.0000,-0.1954
29,280,0.2800,0.000000,0.00000,0.0000,-0.1603
30,290,0.2900,0.000000,0.00000,0.0000,-0.1816
31,300,0.3000,0.000000,0.00000,0.0000,-0.1816
32,310,0.3100,0.000000,0.00000,0.0000,-0.1480
33,320,0.3200,0.000000,0.00000,0.0000,-0.2198
34,330,0.3300,0.000000,0.00000,0.0000,-0.2152
35,340,0.3400,0.000000,0.00000,0.0000,-0.1435
36,350,0.3500,0.000000,0.00000,0.0000,-0.1511
37,360,0.3600,0.000000,0.00000,0.0000,-0.1267
38,370,0.3700,0.000000,0.00000,0.0000,-0.1984
39,380,0.3800,0.000000,0.00000,0.0000,-0.1526
