index,time_ms,time_s,position_m,velocity_mps,accel_mps2,current_A,error_A,cmd_duty_pct,cmd_pwm,dir_sign
0,0,0.0000,0.000000,0.00000,0.0000,3.0464,-3.0464,0.00,0,0
1,0,0.0000,0.000000,0.00000,0.0000,3.0586,-3.0586,0.00,0,0
2,1,0.0010,0.000000,0.00000,0.0000,3.0708,-3.0708,0.00,0,0
3,2,0.0020,0.000000,0.00000,0.0000,3.0891,-3.0891,0.00,0,0
4,6,0.0060,0.000000,0.00000,0.0000,3.0586,-3.0586,0.00,0,0
5,10,0.0100,0.000000,0.00000,0.0000,2.8755,-2.8755,0.00,0,0
6,14,0.0140,0.000000,0.00000,0.0000,2.8205,-2.8205,0.00,0,0
7,18,0.0180,0.000000,0.00000,0.0000,2.7961,-2.7961,0.00,0,0
8,22,0.0220,0.000000,0.00000,0.0000,2.8571,-2.8571,0.00,0,0
9,26,0.0260,0.000000,0.00000,0.0000,2.8816,-2.8816,0.00,0,0
10,30,0.0300,0.000000,0.00000,0.0000,3.0830,-3.0830,0.00,0,0
11,34,0.0340,0.000000,0.00000,0.0000,3.2357,-3.2357,0.00,0,0
12,38,0.0380,0.000000,0.00000,0.0000,3.2906,-3.2906,0.00,0,0
13,42,0.0420,0.000000,0.00000,0.0000,3.4066,-3.4066,0.00,0,0
14,46,0.0460,0.000000,0.00000,0.0000,3.5592,-3.5592,0.00,0,0
15,50,0.0500,0.000000,0.00000,0.0000,3.9133,-3.9133,0.00,0,0
16,54,0.0540,0.000000,0.00000,0.0000,4.2125,-4.2125,0.00,0,0
17,58,0.0580,0.000000,0.00000,0.0000,4.4994,-4.4994,0.00,0,0
18,62,0.0620,0.000000,0.00000,0.0000,4.7192,-4.7192,0.00,0,0
19,66,0.0660,0.000000,0.00000,0.0000,4.9695,-4.9695,0.00,0,0
20,70,0.0700,0.000000,0.00000,0.0000,4.7497,-4.7497,0.00,0,0
21,74,0.0740,0.000000,0.00000,0.0000,4.6825,-4.6825,0.00,0,0
22,78,0.0780,0.000000,0.00000,0.0000,4.6093,-4.6093,0.00,0,0
23,82,0.0820,0.000000,0.00000,0.0000,4.4444,-4.4444,0.00,0,0
