index,time_ms,time_s,position_m,velocity_mps,accel_mps2,current_A,error_A,cmd_duty_pct,cmd_pwm,dir_sign
0,0,0.0000,0.000000,0.00000,0.0000,2.5397,2.4603,0.00,0,0
1,0,0.0000,0.000000,0.00000,0.0000,2.4664,2.5336,0.00,0,0
2,1,0.0010,0.000000,0.00000,0.0000,2.4847,2.5153,0.00,0,0
3,2,0.0020,0.000000,0.00000,0.0000,2.4847,2.5153,0.00,0,0
4,6,0.0060,0.000000,0.00000,0.0000,2.4969,2.5031,0.00,0,0
5,10,0.0100,0.000000,0.00000,0.0000,2.4847,2.5153,0.00,0,0
6,14,0.0140,0.000000,0.00000,0.0000,2.5336,2.4664,0.00,0,0
7,18,0.0180,0.000000,0.00000,0.0000,2.4481,2.5519,0.00,0,0
8,22,0.0220,0.000000,0.00000,0.0000,2.4847,2.5153,0.00,0,0
9,26,0.0260,0.000000,0.00000,0.0000,2.4786,2.5214,0.00,0,0
10,30,0.0300,0.000000,0.00000,0.0000,2.5458,2.4542,0.00,0,0
11,34,0.0340,0.000000,0.00000,0.0000,2.5214,2.4786,0.00,0,0
12,38,0.0380,0.000000,0.00000,0.0000,2.4847,2.5153,0.00,0,0
13,42,0.0420,0.000000,0.00000,0.0000,2.4847,2.5153,0.00,0,0
14,46,0.0460,0.000000,0.00000,0.0000,2.5031,2.4969,0.00,0,0
15,50,0.0500,0.000000,0.00000,0.0000,2.4603,2.5397,0.00,0,0
16,54,0.0540,0.000000,0.00000,0.0000,2.4847,2.5153,0.00,0,0
17,58,0.0580,0.000000,0.00000,0.0000,2.4603,2.5397,0.00,0,0
18,62,0.0620,0.000000,0.00000,0.0000,2.5336,2.4664,0.00,0,0
19,66,0.0660,0.000000,0.00000,0.0000,2.5214,2.4786,0.00,0,0
20,70,0.0700,0.000000,0.00000,0.0000,2.5153,2.4847,0.00,0,0
21,74,0.0740,0.000000,0.00000,0.0000,2.4908,2.5092,0.00,0,0
22,78,0.0780,0.000000,0.00000,0.0000,2.4908,2.5092,0.00,0,0
23,82,0.0820,0.000000,0.00000,0.0000,2.5092,2.4908,0.00,0,0
24,86,0.0860,0.000000,0.00000,0.0000,2.5580,2.4420,0.00,0,0
25,90,0.0900,0.000000,0.00000,0.0000,2.5092,2.4908,0.00,0,0
26,94,0.0940,0.000000,0.00000,0.0000,2.4481,2.5519,0.00,0,0
27,98,0.0980,0.000000,0.00000,0.0000,2.5458,2.4542,0.00,0,0
28,102,0.1020,0.000000,0.00000,0.0000,2.4359,2.5641,0.00,0,0
29,106,0.1060,0.000000,0.00000,0.0000,2.4359,2.5641,0.00,0,0
30,110,0.1100,0.000000,0.00000,0.0000,2.5397,2.4603,0.00,0,0
31,114,0.1140,0.000000,0.00000,0.0000,2.4969,2.5031,0.00,0,0
32,118,0.1180,0.000000,0.00000,0.0000,2.4786,2.5214,0.00,0,0
33,122,0.1220,0.000000,0.00000,0.0000,2.4725,2.5275,0.00,0,0
34,126,0.1260,0.000000,0.00000,0.0000,2.4664,2.5336,0.00,0,0
35,130,0.1300,0.000000,0.00000,0.0000,2.4298,2.5702,0.00,0,0
36,134,0.1340,0.000000,0.00000,0.0000,2.4542,2.5458,0.00,0,0
37,138,0.1380,0.000000,0.00000,0.0000,2.4664,2.5336,0.00,0,0
38,142,0.1420,0.000000,0.00000,0.0000,2.4664,2.5336,0.00,0,0
39,146,0.1460,0.000000,0.00000,0.0000,2.4420,2.5580,0.00,0,0
40,150,0.1500,0.000000,0.00000,-0.2310,2.5946,2.4054,0.00,0,0
41,154,0.1540,0.000000,-0.00180,-0.4620,2.4664,2.5336,0.00,0,0
42,158,0.1580,-0.000010,-0.00370,-0.2310,2.4786,2.5214,0.00,0,0
43,162,0.1620,-0.000030,-0.00370,0.0000,2.4847,2.5153,0.00,0,0
44,166,0.1660,-0.000040,-0.00370,0.0000,2.5092,2.4908,0.00,0,0
45,170,0.1700,-0.000060,-0.00370,0.0000,2.4298,2.5702,0.00,0,0
46,174,0.1740,-0.000070,-0.00370,0.0000,2.4481,2.5519,0.00,0,0
47,178,0.1780,-0.000090,-0.00370,0.0000,2.4725,2.5275,0.00,0,0
48,182,0.1820,-0.000100,-0.00370,0.0000,2.4786,2.5214,0.00,0,0
49,186,0.1860,-0.000120,-0.00370,0.2310,2.4725,2.5275,0.00,0,0
50,190,0.1900,-0.000130,-0.00180,0.4620,2.5275,2.4725,0.00,0,0
51,194,0.1940,-0.000130,0.00000,0.2310,2.5641,2.4359,0.00,0,0
52,198,0.1980,-0.000130,0.00000,0.0000,2.5397,2.4603,0.00,0,0
53,202,0.2020,-0.000130,0.00000,0.0000,2.5397,2.4603,0.00,0,0
54,206,0.2060,-0.000130,0.00000,0.0000,2.5153,2.4847,0.00,0,0
55,210,0.2100,-0.000130,0.00000,0.0000,2.5214,2.4786,0.00,0,0
56,214,0.2140,-0.000130,0.00000,0.0000,2.5519,2.4481,0.00,0,0
57,218,0.2180,-0.000130,0.00000,0.0000,2.5153,2.4847,0.00,0,0
58,222,0.2220,-0.000130,0.00000,0.0000,2.4725,2.5275,0.00,0,0
59,226,0.2260,-0.000130,0.00000,0.0000,2.4969,2.5031,0.00,0,0
60,230,0.2300,-0.000130,0.00000,0.0000,2.4481,2.5519,0.00,0,0
61,234,0.2340,-0.000130,0.00000,0.0000,2.4603,2.5397,0.00,0,0
62,238,0.2380,-0.000130,0.00000,0.0000,2.4847,2.5153,0.00,0,0
63,242,0.2420,-0.000130,0.00000,0.0000,2.4847,2.5153,0.00,0,0
64,246,0.2460,-0.000130,0.00000,0.0000,2.4664,2.5336,0.00,0,0
65,250,0.2500,-0.000130,0.00000,0.0000,2.4847,2.5153,0.00,0,0
66,254,0.2540,-0.000130,0.00000,0.0000,2.4786,2.5214,0.00,0,0
67,258,0.2580,-0.000130,0.00000,0.0000,2.4176,2.5824,0.00,0,0
68,262,0.2620,-0.000130,0.00000,0.2310,2.5092,2.4908,0.00,0,0
69,266,0.2660,-0.000130,0.00180,0.4620,2.4908,2.5092,0.00,0,0
70,270,0.2700,-0.000120,0.00370,0.2310,2.4481,2.5519,0.00,0,0
71,274,0.2740,-0.000100,0.00370,0.0000,2.4847,2.5153,0.00,0,0
72,278,0.2780,-0.000090,0.00370,0.0000,2.4664,2.5336,0.00,0,0
73,282,0.2820,-0.000070,0.00370,-0.0000,2.4542,2.5458,0.00,0,0
74,286,0.2860,-0.000060,0.00370,0.0000,2.4725,2.5275,0.00,0,0
75,290,0.2900,-0.000040,0.00370,0.0000,2.5214,2.4786,0.00,0,0
76,294,0.2940,-0.000030,0.00370,-0.0000,2.5397,2.4603,0.00,0,0
77,298,0.2980,-0.000010,0.00370,-0.2310,2.5580,2.4420,0.00,0,0
78,302,0.3020,0.000000,0.00180,-0.4620,2.5092,2.4908,0.00,0,0
79,306,0.3060,0.000000,0.00000,-0.2310,2.5336,2.4664,0.00,0,0
80,310,0.3100,0.000000,0.00000,-0.2310,2.5275,2.4725,0.00,0,0
81,314,0.3140,0.000000,-0.00180,-0.4620,2.5031,2.4969,0.00,0,0
82,318,0.3180,-0.000010,-0.00370,-0.2310,2.4725,2.5275,0.00,0,0
83,322,0.3220,-0.000030,-0.00370,-0.0000,2.4725,2.5275,0.00,0,0
84,326,0.3260,-0.000040,-0.00370,0.0000,2.5397,2.4603,0.00,0,0
85,330,0.3300,-0.000060,-0.00370,0.0000,2.4542,2.5458,0.00,0,0
86,334,0.3340,-0.000070,-0.00370,-0.2310,2.5092,2.4908,0.00,0,0
87,338,0.3380,-0.000090,-0.00550,-0.4620,2.5214,2.4786,0.00,0,0
88,342,0.3420,-0.000120,-0.00740,-0.2310,2.6007,2.3993,0.00,0,0
89,346,0.3460,-0.000150,-0.00740,0.2310,2.5763,2.4237,0.00,0,0
90,350,0.3500,-0.000180,-0.00550,0.2310,2.5031,2.4969,0.00,0,0
91,354,0.3540,-0.000190,-0.00550,-0.2310,2.5153,2.4847,0.00,0,0
92,358,0.3580,-0.000220,-0.00740,-0.2310,2.5946,2.4054,0.00,0,0
93,362,0.3620,-0.000250,-0.00740,-0.0000,2.5641,2.4359,0.00,0,0
94,366,0.3660,-0.000280,-0.00740,-0.0000,2.5763,2.4237,0.00,0,0
95,370,0.3700,-0.000310,-0.00740,0.0000,2.4786,2.5214,0.00,0,0
96,374,0.3740,-0.000340,-0.00740,0.0000,2.5092,2.4908,0.00,0,0
97,378,0.3780,-0.000370,-0.00740,-0.0000,2.4664,2.5336,0.00,0,0
98,382,0.3820,-0.000400,-0.00740,0.0000,2.5397,2.4603,0.00,0,0
99,386,0.3860,-0.000430,-0.00740,0.2310,2.5336,2.4664,0.00,0,0
100,390,0.3900,-0.000460,-0.00550,0.2310,2.5702,2.4298,0.00,0,0
101,394,0.3940,-0.000470,-0.00550,-0.2310,2.5336,2.4664,0.00,0,0
102,398,0.3980,-0.000500,-0.00740,-0.2310,2.5519,2.4481,0.00,0,0
103,402,0.4020,-0.000530,-0.00740,-0.2310,2.5763,2.4237,0.00,0,0
104,406,0.4060,-0.000560,-0.00920,-0.2310,2.5092,2.4908,0.00,0,0
105,410,0.4100,-0.000610,-0.00920,0.2310,2.5336,2.4664,0.00,0,0
106,414,0.4140,-0.000640,-0.00740,0.0000,2.4725,2.5275,0.00,0,0
107,418,0.4180,-0.000660,-0.00920,-0.6930,2.5275,2.4725,0.00,0,0
108,422,0.4220,-0.000710,-0.01290,-0.6930,2.5824,2.4176,0.00,0,0
109,426,0.4260,-0.000770,-0.01480,-0.2310,2.5824,2.4176,0.00,0,0
110,430,0.4300,-0.000830,-0.01480,-0.2310,2.6252,2.3748,0.00,0,0
111,434,0.4340,-0.000890,-0.01660,-0.6930,2.6252,2.3748,0.00,0,0
112,438,0.4380,-0.000960,-0.02030,-0.6930,2.6129,2.3871,0.00,0,0
113,442,0.4420,-0.001050,-0.02220,-0.4620,2.7473,2.2527,0.00,0,0
114,446,0.4460,-0.001140,-0.02400,-0.6930,2.7106,2.2894,0.00,0,0
115,450,0.4500,-0.001240,-0.02770,-0.9240,2.7778,2.2222,0.00,0,0
116,454,0.4540,-0.001360,-0.03140,-0.6930,2.7411,2.2589,0.00,0,0
117,458,0.4580,-0.001490,-0.03320,-0.6930,2.7595,2.2405,0.00,0,0
118,462,0.4620,-0.001630,-0.03690,-0.9240,2.7717,2.2283,0.00,0,0
119,466,0.4660,-0.001790,-0.04060,-0.6930,2.8083,2.1917,0.00,0,0
120,470,0.4700,-0.001950,-0.04250,-0.6930,2.8755,2.1245,0.00,0,0
121,474,0.4740,-0.002130,-0.04620,-0.9240,2.8999,2.1001,0.00,0,0
122,478,0.4780,-0.002320,-0.04990,-0.9240,2.9487,2.0513,0.00,0,0
123,482,0.4820,-0.002530,-0.05360,-0.9240,2.9304,2.0696,0.00,0,0
124,486,0.4860,-0.002750,-0.05730,-0.6930,2.9365,2.0635,0.00,0,0
125,490,0.4900,-0.002980,-0.05910,-0.4620,3.0769,1.9231,0.00,0,0
126,494,0.4940,-0.003220,-0.06100,-0.4620,3.0464,1.9536,0.00,0,0
127,498,0.4980,-0.003470,-0.06280,-0.4620,3.1258,1.8742,0.00,0,0
128,502,0.5020,-0.003720,-0.06460,-0.4620,3.1013,1.8987,0.00,0,0
129,506,0.5060,-0.003990,-0.06650,0.0000,3.1563,1.8437,0.00,0,0
130,510,0.5100,-0.004260,-0.06460,0.4620,3.1136,1.8864,0.00,0,0
131,514,0.5140,-0.004510,-0.06280,0.4620,3.1624,1.8376,0.00,0,0
132,518,0.5180,-0.004760,-0.06100,0.6930,3.1502,1.8498,0.00,0,0
133,522,0.5220,-0.004990,-0.05730,0.9240,3.1197,1.8803,0.00,0,0
134,526,0.5260,-0.005220,-0.05360,0.9240,3.1136,1.8864,0.00,0,0
135,530,0.5300,-0.005420,-0.04990,1.1540,2.9854,2.0146,0.00,0,0
136,534,0.5340,-0.005620,-0.04430,1.3850,2.9915,2.0085,0.00,0,0
137,538,0.5380,-0.005780,-0.03880,1.1540,2.9121,2.0879,0.00,0,0
138,542,0.5420,-0.005930,-0.03510,0.9240,2.8694,2.1306,0.00,0,0
139,546,0.5460,-0.006060,-0.03140,0.9240,2.8144,2.1856,0.00,0,0
140,550,0.5500,-0.006180,-0.02770,0.9240,2.6557,2.3443,0.00,0,0
141,554,0.5540,-0.006280,-0.02400,0.6930,2.7289,2.2711,0.00,0,0
142,558,0.5580,-0.006370,-0.02220,0.4620,2.7289,2.2711,0.00,0,0
143,562,0.5620,-0.006460,-0.02030,0.4620,2.6374,2.3626,0.00,0,0
144,566,0.5660,-0.006530,-0.01850,0.0000,2.6801,2.3199,0.00,0,0
145,570,0.5700,-0.006610,-0.02030,-0.4620,2.5763,2.4237,0.00,0,0
146,574,0.5740,-0.006690,-0.02220,-0.0000,2.5946,2.4054,0.00,0,0
147,578,0.5780,-0.006780,-0.02030,0.2310,2.6190,2.3810,0.00,0,0
