index,time_ms,time_s,position_m,velocity_mps,accel_mps2,current_A,error_A,cmd_duty_pct,cmd_pwm,dir_sign
0,0,0.0000,0.000000,0.00000,0.0000,2.6007,0.0000,4.00,3931,1
1,0,0.0000,0.000000,0.00000,0.0000,2.6984,0.0000,4.00,3931,1
2,0,0.0000,0.000000,0.00000,0.0000,2.6313,0.0000,4.00,3931,1
3,2,0.0020,0.000000,0.00000,0.0000,2.6801,0.0000,4.00,3931,1
4,6,0.0060,0.000000,0.00000,0.0000,2.5885,0.0000,4.00,3931,1
5,10,0.0100,0.000000,0.00000,0.0000,2.4847,0.0000,4.00,3931,1
6,14,0.0140,0.000000,0.00000,0.0000,2.5275,0.0000,4.00,3931,1
7,18,0.0180,0.000000,0.00000,0.0000,2.4237,0.0000,4.00,3931,1
8,22,0.0220,0.000000,0.00000,0.0000,2.4969,0.0000,4.00,3931,1
9,26,0.0260,0.000000,0.00000,0.0000,2.4237,0.0000,4.00,3931,1
10,30,0.0300,0.000000,0.00000,0.0000,2.5153,0.0000,4.00,3931,1
11,34,0.0340,0.000000,0.00000,0.0000,2.5153,0.0000,4.00,3931,1
12,38,0.0380,0.000000,0.00000,0.0000,2.5031,0.0000,4.00,3931,1
13,42,0.0420,0.000000,0.00000,0.0000,2.4847,0.0000,4.00,3931,1
14,46,0.0460,0.000000,0.00000,0.0000,2.4298,0.0000,4.00,3931,1
15,50,0.0500,0.000000,0.00000,0.0000,2.3871,0.0000,4.00,3931,1
16,54,0.0540,0.000000,0.00000,0.0000,2.4054,0.0000,4.00,3931,1
17,58,0.0580,0.000000,0.00000,0.0000,2.3687,0.0000,4.00,3931,1
18,62,0.0620,0.000000,0.00000,0.0000,2.3932,0.0000,4.00,3931,1
19,66,0.0660,0.000000,0.00000,0.0000,2.3871,0.0000,4.00,3931,1
20,70,0.0700,0.000000,0.00000,0.0000,2.6068,0.0000,4.00,3931,1
21,74,0.0740,0.000000,0.00000,0.0000,2.5946,0.0000,4.00,3931,1
22,78,0.0780,0.000000,0.00000,0.0000,2.5946,0.0000,4.00,3931,1
23,82,0.0820,0.000000,0.00000,0.0000,2.6252,0.0000,4.00,3931,1
24,86,0.0860,0.000000,0.00000,0.0000,2.5275,0.0000,4.00,3931,1
25,90,0.0900,0.000000,0.00000,0.0000,2.6129,0.0000,4.00,3931,1
26,94,0.0940,0.000000,0.00000,0.0000,2.6923,0.0000,4.00,3931,1
27,98,0.0980,0.000000,0.00000,0.0000,2.6557,0.0000,4.00,3931,1
28,102,0.1020,0.000000,0.00000,0.0000,2.6618,0.0000,4.00,3931,1
29,106,0.1060,0.000000,0.00000,0.0000,2.6374,0.0000,4.00,3931,1
30,110,0.1100,0.000000,0.00000,0.0000,2.5458,0.0000,4.00,3931,1
31,114,0.1140,0.000000,0.00000,0.0000,2.4847,0.0000,4.00,3931,1
32,118,0.1180,0.000000,0.00000,0.0000,2.5275,0.0000,4.00,3931,1
33,122,0.1220,0.000000,0.00000,0.0000,2.5153,0.0000,4.00,3931,1
34,126,0.1260,0.000000,0.00000,0.0000,2.4664,0.0000,4.00,3931,1
35,130,0.1300,0.000000,0.00000,0.0000,2.6374,0.0000,4.00,3931,1
36,134,0.1340,0.000000,0.00000,0.0000,2.6374,0.0000,4.00,3931,1
37,138,0.1380,0.000000,0.00000,0.0000,2.6496,0.0000,4.00,3931,1
38,142,0.1420,0.000000,0.00000,0.0000,2.7228,0.0000,4.00,3931,1
39,146,0.1460,0.000000,0.00000,0.0000,2.6496,0.0000,4.00,3931,1
40,150,0.1500,0.000000,0.00000,0.0000,2.5641,0.0000,4.00,3931,1
41,154,0.1540,0.000000,0.00000,0.0000,2.6129,0.0000,4.00,3931,1
42,158,0.1580,0.000000,0.00000,0.0000,2.6190,0.0000,4.00,3931,1
43,162,0.1620,0.000000,0.00000,0.0000,2.6557,0.0000,4.00,3931,1
44,166,0.1660,0.000000,0.00000,0.0000,2.6435,0.0000,4.00,3931,1
45,170,0.1700,0.000000,0.00000,0.0000,2.6313,0.0000,4.00,3931,1
46,174,0.1740,0.000000,0.00000,0.0000,2.6313,0.0000,4.00,3931,1
47,178,0.1780,0.000000,0.00000,0.0000,2.6374,0.0000,4.00,3931,1
48,182,0.1820,0.000000,0.00000,0.0000,2.6496,0.0000,4.00,3931,1
49,186,0.1860,0.000000,0.00000,0.0000,2.6313,0.0000,4.00,3931,1
50,190,0.1900,0.000000,0.00000,0.0000,2.6618,0.0000,4.00,3931,1
51,194,0.1940,0.000000,0.00000,0.0000,2.7595,0.0000,4.00,3931,1
52,198,0.1980,0.000000,0.00000,0.0000,2.6862,0.0000,4.00,3931,1
53,202,0.2020,0.000000,0.00000,0.0000,2.6801,0.0000,4.00,3931,1
54,206,0.2060,0.000000,0.00000,0.0000,2.6740,0.0000,4.00,3931,1
55,210,0.2100,0.000000,0.00000,0.0000,2.3748,0.0000,4.00,3931,1
56,214,0.2140,0.000000,0.00000,0.0000,2.4359,0.0000,4.00,3931,1
57,218,0.2180,0.000000,0.00000,0.0000,2.4115,0.0000,4.00,3931,1
58,222,0.2220,0.000000,0.00000,0.0000,2.3932,0.0000,4.00,3931,1
59,226,0.2260,0.000000,0.00000,0.0000,2.5153,0.0000,4.00,3931,1
60,230,0.2300,0.000000,0.00000,0.0000,2.4969,0.0000,4.00,3931,1
61,234,0.2340,0.000000,0.00000,0.0000,2.4969,0.0000,4.00,3931,1
62,238,0.2380,0.000000,0.00000,0.0000,2.4298,0.0000,4.00,3931,1
63,242,0.2420,0.000000,0.00000,0.0000,2.4176,0.0000,4.00,3931,1
64,246,0.2460,0.000000,0.00000,0.0000,2.4298,0.0000,4.00,3931,1
65,250,0.2500,0.000000,0.00000,0.0000,2.6801,0.0000,4.00,3931,1
66,254,0.2540,0.000000,0.00000,0.0000,2.6618,0.0000,4.00,3931,1
67,258,0.2580,0.000000,0.00000,0.0000,2.6618,0.0000,4.00,3931,1
68,262,0.2620,0.000000,0.00000,0.0000,2.7228,0.0000,4.00,3931,1
69,266,0.2660,0.000000,0.00000,0.0000,2.6618,0.0000,4.00,3931,1
70,270,0.2700,0.000000,0.00000,0.0000,2.3382,0.0000,4.00,3931,1
71,274,0.2740,0.000000,0.00000,0.0000,2.4237,0.0000,4.00,3931,1
72,278,0.2780,0.000000,0.00000,0.0000,2.3871,0.0000,4.00,3931,1
73,282,0.2820,0.000000,0.00000,0.0000,2.4420,0.0000,4.00,3931,1
74,286,0.2860,0.000000,0.00000,0.0000,2.3932,0.0000,4.00,3931,1
75,290,0.2900,0.000000,0.00000,0.0000,2.5824,0.0000,4.00,3931,1
76,294,0.2940,0.000000,0.00000,0.0000,2.5275,0.0000,4.00,3931,1
77,298,0.2980,0.000000,0.00000,0.0000,2.5580,0.0000,4.00,3931,1
78,302,0.3020,0.000000,0.00000,0.0000,2.6557,0.0000,4.00,3931,1
79,306,0.3060,0.000000,0.00000,0.0000,2.6068,0.0000,4.00,3931,1
80,310,0.3100,0.000000,0.00000,0.0000,2.4542,0.0000,4.00,3931,1
81,314,0.3140,0.000000,0.00000,0.0000,2.4725,0.0000,4.00,3931,1
82,318,0.3180,0.000000,0.00000,0.0000,2.4969,0.0000,4.00,3931,1
83,322,0.3220,0.000000,0.00000,0.0000,2.5336,0.0000,4.00,3931,1
84,326,0.3260,0.000000,0.00000,0.0000,2.4359,0.0000,4.00,3931,1
85,330,0.3300,0.000000,0.00000,0.0000,2.5641,0.0000,4.00,3931,1
86,334,0.3340,0.000000,0.00000,0.0000,2.5336,0.0000,4.00,3931,1
87,338,0.3380,0.000000,0.00000,0.0000,2.5275,0.0000,4.00,3931,1
88,342,0.3420,0.000000,0.00000,0.0000,2.6374,0.0000,4.00,3931,1
89,346,0.3460,0.000000,0.00000,0.0000,2.5092,0.0000,4.00,3931,1
90,350,0.3500,0.000000,0.00000,0.0000,2.7473,0.0000,4.00,3931,1
91,354,0.3540,0.000000,0.00000,0.0000,2.7167,0.0000,4.00,3931,1
92,358,0.3580,0.000000,0.00000,0.0000,2.7473,0.0000,4.00,3931,1
93,362,0.3620,0.000000,0.00000,0.0000,2.7534,0.0000,4.00,3931,1
94,366,0.3660,0.000000,0.00000,0.0000,2.6740,0.0000,4.00,3931,1
95,370,0.3700,0.000000,0.00000,0.0000,2.5397,0.0000,4.00,3931,1
96,374,0.3740,0.000000,0.00000,0.0000,2.6496,0.0000,4.00,3931,1
97,378,0.3780,0.000000,0.00000,0.0000,2.5397,0.0000,4.00,3931,1
98,382,0.3820,0.000000,0.00000,0.0000,2.6252,0.0000,4.00,3931,1
99,386,0.3860,0.000000,0.00000,0.0000,2.5641,0.0000,4.00,3931,1
100,390,0.3900,0.000000,0.00000,0.0000,2.6007,0.0000,4.00,3931,1
101,394,0.3940,0.000000,0.00000,0.0000,2.6313,0.0000,4.00,3931,1
102,398,0.3980,0.000000,0.00000,0.0000,2.5824,0.0000,4.00,3931,1
