time_s,t_us,pcnt_count,d_pcnt,dpos_m,position_m,dir_m1_0_p1,adc_a,adc_b
0.889843,23266431,-2,0,0.00000000,-0.00026599,0,4095,4095
0.899839,23276427,-2,0,0.00000000,-0.00026599,0,4095,4095
0.909839,23286427,-2,0,0.00000000,-0.00026599,0,4095,4095
0.919843,23296431,-2,0,0.00000000,-0.00026599,0,4095,4095
0.929843,23306431,-2,0,0.00000000,-0.00026599,0,4095,4095
0.939843,23316431,-2,0,0.00000000,-0.00026599,0,4095,4095
0.949843,23326431,-2,0,0.00000000,-0.00026599,0,4095,4095
0.959843,23336431,-2,0,0.00000000,-0.00026599,0,4095,4095
0.969843,23346431,-2,0,0.00000000,-0.00026599,0,4095,4095
0.979843,23356431,-2,0,0.00000000,-0.00026599,0,4095,4095
0.989843,23366431,-2,0,0.00000000,-0.00026599,0,4095,4095
0.999843,23376431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.009839,23386427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.019839,23396427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.029839,23406427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.039839,23416427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.049839,23426427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.059843,23436431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.069839,23446427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.079839,23456427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.089839,23466427,-2,0,0.00000000,-0.00026599,0,4095,4095
1.099843,23476431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.109843,23486431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.119843,23496431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.129843,23506431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.139843,23516431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.149843,23526431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.159843,23536431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.169843,23546431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.179843,23556431,-2,0,0.00000000,-0.00026599,0,4095,4095
1.189843,23566431,-2,0,0.00000000,-0.00026599,0,4095,4095
