time_s,t_us,pcnt_count,d_pcnt,dpos_m,position_m,dir_m1_0_p1
0.000000,21472546,0,0,0.00000000,0.00000000,0
0.009834,21482380,0,0,0.00000000,0.00000000,0
0.019834,21492380,0,0,0.00000000,0.00000000,0
0.029834,21502380,0,0,0.00000000,0.00000000,0
0.039834,21512380,0,0,0.00000000,0.00000000,0
0.049834,21522380,0,0,0.00000000,0.00000000,0
0.059834,21532380,0,0,0.00000000,0.00000000,0
0.069834,21542380,0,0,0.00000000,0.00000000,0
0.079834,21552380,0,0,0.00000000,0.00000000,0
0.089834,21562380,0,0,0.00000000,0.00000000,0
0.099834,21572380,0,0,0.00000000,0.00000000,0
0.109834,21582380,0,0,0.00000000,0.00000000,0
0.119834,21592380,0,0,0.00000000,0.00000000,0
0.129834,21602380,0,0,0.00000000,0.00000000,0
0.139834,21612380,0,0,0.00000000,0.00000000,0
0.149834,21622380,0,0,0.00000000,0.00000000,0
0.159834,21632380,0,0,0.00000000,0.00000000,0
0.169834,21642380,0,0,0.00000000,0.00000000,0
0.179834,21652380,0,0,0.00000000,0.00000000,0
0.189834,21662380,0,0,0.00000000,0.00000000,0
0.199834,21672380,0,0,0.00000000,0.00000000,0
0.209834,21682380,0,0,0.00000000,0.00000000,0
0.219834,21692380,0,0,0.00000000,0.00000000,0
0.229834,21702380,0,0,0.00000000,0.00000000,0
0.239834,21712380,0,0,0.00000000,0.00000000,0
0.249834,21722380,0,0,0.00000000,0.00000000,0
0.259834,21732380,0,0,0.00000000,0.00000000,0
0.269834,21742380,0,0,0.00000000,0.00000000,0
0.279834,21752380,0,0,0.00000000,0.00000000,0
0.289834,21762380,0,0,0.00000000,0.00000000,0
0.299834,21772380,0,0,0.00000000,0.00000000,0
0.309834,21782380,0,0,0.00000000,0.00000000,0
0.319834,21792380,0,0,0.00000000,0.00000000,0
0.329834,21802380,0,0,0.00000000,0.00000000,0
0.339834,21812380,0,0,0.00000000,0.00000000,0
0.349834,21822380,0,0,0.00000000,0.00000000,0
0.359834,21832380,0,0,0.00000000,0.00000000,0
0.369834,21842380,0,0,0.00000000,0.00000000,0
0.379834,21852380,0,0,0.00000000,0.00000000,0
0.389834,21862380,0,0,0.00000000,0.00000000,0
0.399834,21872380,0,0,0.00000000,0.00000000,0
0.409834,21882380,0,0,0.00000000,0.00000000,0
0.419834,21892380,0,0,0.00000000,0.00000000,0
0.429834,21902380,0,0,0.00000000,0.00000000,0
0.439834,21912380,0,0,0.00000000,0.00000000,0
0.449834,21922380,0,0,0.00000000,0.00000000,0
0.459834,21932380,0,0,0.00000000,0.00000000,0
0.469834,21942380,0,0,0.00000000,0.00000000,0
0.479834,21952380,0,0,0.00000000,0.00000000,0
0.489834,21962380,0,0,0.00000000,0.00000000,0
0.499834,21972380,0,0,0.00000000,0.00000000,0
0.509834,21982380,0,0,0.00000000,0.00000000,0
0.519834,21992380,0,0,0.00000000,0.00000000,0
0.529834,22002380,0,0,0.00000000,0.00000000,0
0.539834,22012380,0,0,0.00000000,0.00000000,0
0.549834,22022380,0,0,0.00000000,0.00000000,0
0.559834,22032380,0,0,0.00000000,0.00000000,0
0.569834,22042380,0,0,0.00000000,0.00000000,0
0.579834,22052380,0,0,0.00000000,0.00000000,0
0.589834,22062380,0,0,0.00000000,0.00000000,0
0.599834,22072380,0,0,0.00000000,0.00000000,0
0.609834,22082380,0,0,0.00000000,0.00000000,0
0.619834,22092380,0,0,0.00000000,0.00000000,0
0.629834,22102380,0,0,0.00000000,0.00000000,0
0.639834,22112380,0,0,0.00000000,0.00000000,0
0.649834,22122380,0,0,0.00000000,0.00000000,0
